Centroid X,Centroid Y,Transitions,Aspect Ratio
325,119,55,2.6412213740458017
389,103,80,2.3053435114503817
267,155,79,6.92
384,156,36,6.04
836,63,0,2.984126984126984
1120,90,170,2.6587301587301586
809,159,42,6.836363636363636
1070,150,95,6.090909090909091
209,216,83,4.964912280701754
331,204,92,6.4035087719298245
133,265,88,5.053571428571429
624,270,24,6.517857142857143
690,200,36,6.025
1005,201,80,11.75
661,235,39,3.3013698630136985
939,253,84,6.438356164383562
1710,76,116,3.4741379310344827
1780,27,40,3.6724137931034484
1613,156,82,5.10126582278481
2167,174,20,5.3924050632911396
2256,94,117,2.7751937984496124
2785,100,102,2.565891472868217
2205,145,54,5.424242424242424
2724,165,131,5.015151515151516
1537,223,71,7.618181818181818
2122,221,55,7.454545454545454
1477,271,91,9.522727272727273
2095,276,48,9.318181818181818
2548,246,33,6.0
2655,225,195,4.765625
2443,279,139,10.971428571428572
2662,274,85,8.714285714285714
168,323,159,5.666666666666667
505,330,63,4.894736842105263
214,371,197,3.891566265060241
434,373,282,3.36144578313253
898,319,92,6.666666666666667
1323,337,47,5.349206349206349
867,401,81,5.454545454545454
1254,374,98,4.376623376623376
564,630,0,2.707547169811321
586,600,27,0.1320754716981132
560,670,32,8.96875
587,692,30,0.4375
672,511,74,1.0263157894736843
791,479,184,5.614035087719298
655,634,156,0.7222222222222222
741,574,55,3.950617283950617
1454,305,26,12.421052631578947
1780,307,8,16.842105263157894
1472,318,171,18.153846153846153
1759,319,18,24.615384615384617
2135,301,72,26.8
2534,301,99,37.333333333333336
2110,317,135,23.647058823529413
2567,316,194,32.94117647058823
1530,339,45,10.461538461538462
1780,338,153,10.923076923076923
1472,373,208,0.7597765363128491
1770,359,127,0.7932960893854749
1999,327,5,43.5
2281,327,47,197.0
2001,333,98,0.45789473684210524
2193,332,35,2.0736842105263156
316,136,67,2.2193548387096773
389,120,83,1.6451612903225807
257,187,67,5.375
407,187,21,3.984375
997,151,43,2.5153374233128836
1044,131,80,1.8282208588957056
969,195,76,7.321428571428571
1023,180,40,5.321428571428571
194,247,61,4.614035087719298
359,249,62,5.894736842105263
176,305,55,5.479166666666667
351,296,78,7.0
653,244,21,4.8
927,241,79,10.933333333333334
621,290,44,3.6
866,287,85,8.2
1650,88,114,2.889705882352941
1716,37,21,2.9338235294117645
1577,173,73,5.458333333333333
2077,181,18,5.541666666666667
2159,79,83,3.3451327433628317
2713,62,100,2.5486725663716814
2119,139,59,3.9789473684210526
2632,160,145,3.031578947368421
1518,240,108,6.671875
